Name,ID,Gene,Cluster,Location,Strand,TiSS,TTS,Length,Exons,(i) dRNA.seq,(ii) cRNA.seq.peak,(iii) cRNA.seq.density,(iv) cRNA.seq.kinetic,(v) MinION,(vi) PacBio,(vii) Kinetic.4sU,(viii) Coverage.4sU,(ix) Orphan,Num.Criteria,Justification
UL20.4 RNA,UL20.4_RNA,UL20.4,UL19.5-UL21,JN555585+:40822-43713,+,40822,43712,2891,1,1,0,0,0,0,0,0,1,1,3,
UL21 RNA (encodes N-terminal extension of UL21),UL21_RNA,UL21,UL19.5-UL21,JN555585+:41862-43713,+,41862,43712,1851,1,1,1,1,0,1,1,0,1,1,7,
UL21 RNA #1 (does not encode N-terminal extension of UL21),UL21_RNA_#1,UL21,UL19.5-UL21,JN555585+:41991-43713,+,41991,43712,1722,1,1,0,0,0,0,0,0,0,1,2,
UL22.5 RNA,UL22.5_RNA,UL22.5,UL22.5-UL26.5,JN555585+:43939-48769,+,43939,48768,4830,1,1,0,0,0,0,0,0,0,1,2,
UL23.5 RNA,UL23.5_RNA,UL23.5,UL22.5-UL26.5,JN555585+:46606-48769,+,46606,48768,2163,1,0,0,0,0,0,0,0,1,1,2,
UL24 RNA *1,UL24_RNA_*1,UL24,UL22.5-UL26.5,JN555585+:47407-48769,+,47407,48768,1362,1,1,1,0,0,1,1,1,1,1,7,
UL24 RNA,UL24_RNA,UL24,UL22.5-UL26.5,JN555585+:47671-48769,+,47671,48768,1098,1,1,0,0,0,1,1,0,0,1,4,
UL24.5 RNA,UL24.5_RNA,UL24.5,UL22.5-UL26.5,JN555585+:48073-48769,+,48073,48768,696,1,1,0,0,0,1,1,1,1,1,6,
UL25 RNA (read-through transcript),UL25_RNA,UL25,UL22.5-UL26.5,JN555585+:48630-52794,+,48630,52793,4164,1,1,1,1,0,1,1,0,0,1,6,
UL26 RNA,UL26_RNA,UL26,UL22.5-UL26.5,JN555585+:50663-52794,+,50663,52793,2131,1,1,1,0,0,1,1,0,0,1,5,
UL26.5 RNA,UL26.5_RNA,UL26.5,UL22.5-UL26.5,JN555585+:51634-52794,+,51634,52793,1160,1,1,1,1,0,1,1,0,1,1,7,
UL27.5 RNA,UL27.5_RNA,UL27.5,UL27.5-UL30,JN555585+:54922-66583,+,54922,66582,11661,1,1,0,0,0,0,0,0,1,1,3,
UL27.6 RNA,UL27.6_RNA,UL27.6,UL27.5-UL30,JN555585+:56133-66583,+,56133,66582,10450,1,1,0,0,0,0,0,1,0,1,3,
UL28.4 RNA,UL28.4_RNA,UL28.4,UL27.5-UL30,JN555585+:57711-66583,+,57711,66582,8872,1,1,0,0,0,0,1,0,0,1,3,
UL30 RNA *1 (=Ori-L RNA),UL30_RNA_*1,UL30,UL27.5-UL30,JN555585+:62456-66583,+,62456,66582,4127,1,0,0,0,0,0,1,0,0,1,2,
UL30 RNA,UL30_RNA,UL30,UL27.5-UL30,JN555585+:62604-66583,+,62604,66582,3979,1,0,1,1,0,1,1,1,1,1,7,
UL31.5 RNA *1,UL31.5_RNA_*1,UL31.5,UL31.5-UL35,JN555585+:67063-70964,+,67063,70963,3901,1,1,0,0,0,0,0,0,0,1,2,
UL31.5 RNA,UL31.5_RNA,UL31.5,UL31.5-UL35,JN555585+:67480-70964,+,67480,70963,3484,1,1,0,0,0,0,0,0,0,1,2,
UL31.6 RNA,UL31.6_RNA,UL31.6,UL31.5-UL35,JN555585+:67768-70964,+,67768,70963,3196,1,0,0,0,0,0,0,0,0,0,0,Peak in one cRNA-seq replicate. Required for expression of UL31.6 ORF.
UL32.5 RNA,UL32.5_RNA,UL32.5,UL31.5-UL35,JN555585+:68144-70964,+,68144,70963,2820,1,0,0,0,0,0,0,0,0,1,1,Weak peak in both cRNA-seq replicates. Required for expression of UL32.5 uORF.
UL32.6 RNA,UL32.6_RNA,UL32.6,UL31.5-UL35,JN555585+:68621-70964,+,68621,70963,2343,1,0,1,0,0,0,0,1,0,1,3,
UL33 RNA,UL33_RNA,UL33,UL31.5-UL35,JN555585+:69064-70964,+,69064,70963,1900,1,1,1,1,0,1,1,1,1,1,8,
UL34 RNA,UL34_RNA,UL34,UL31.5-UL35,JN555585+:69441-70964,+,69441,70963,1523,1,1,1,1,0,1,1,0,1,1,7,
UL35 RNA,UL35_RNA,UL35,UL31.5-UL35,JN555585+:70488-70964,+,70488,70963,476,1,1,1,0,0,1,1,1,1,1,7,
UL36.4 RNA,UL36.4_RNA,UL36.4,UL36.4-UL38,JN555585+:73207-86040,+,73207,86039,12833,1,0,0,0,0,0,0,0,0,1,1,Strong peak in one cRNA-seq replicate. Strong increase in coverage downstream of the TiSS in both cRNA-seq replicates. Required for expression of UL36.4 uORF.
UL36.5 RNA,UL36.5_RNA,UL36.5,UL36.4-UL38,JN555585+:74860-86040,+,74860,86039,11180,1,0,0,0,0,0,0,1,0,1,2,
UL36.6 RNA (may start further upstream at 79448 or 79373 according to PacBio),UL36.6_RNA,UL36.6,UL36.4-UL38,JN555585+:79564-86040,+,79564,86039,6476,1,0,0,0,0,0,0,1,0,0,1,Strong peak in both dRNA-seq replicates. Required for expression of UL36.6 uORF and UL36.6 ORF
UL36.6 RNA iso1 (spliced),UL36.6_RNA_iso1,UL36.6,UL36.4-UL38,JN555585+:79564-79883|80090-86040,+,79564,86039,6269,2,0,0,0,0,0,0,1,0,0,1,Strong peak in both dRNA-seq replicates. Required for expression of UL36.6 uORF and UL36.6 ORF
"UL36.6 RNA iso2 (NAGNAG, spliced)",UL36.6_RNA_iso2,UL36.6,UL36.4-UL38,JN555585+:79564-79883|80087-86040,+,79564,86039,6272,2,0,0,0,0,0,0,1,0,0,1,Strong peak in both dRNA-seq replicates. Required for expression of UL36.6 uORF and UL36.6 ORF
UL38 RNA,UL38_RNA,UL38,UL36.4-UL38,JN555585+:84393-86040,+,84393,86039,1647,1,1,1,1,0,1,1,0,1,1,7,
UL39 RNA,UL39_RNA,UL39,UL39-UL40,JN555585+:86216-91001,+,86216,91000,4785,1,1,1,1,1,1,1,0,0,1,7,
UL40 RNA,UL40_RNA,UL40,UL39-UL40,JN555585+:89773-91001,+,89773,91000,1228,1,1,1,0,0,1,1,1,0,1,6,
UL40.5 RNA *1,UL40.5_RNA_*1,UL40.5,UL40.5-UL42,JN555585+:91011-94658,+,91011,94657,3647,1,1,0,0,0,0,1,0,0,1,3,
"UL40.5 RNA iso1 (spliced, encodes UL40.5 iORF)",UL40.5_RNA_iso1,UL40.5,UL40.5-UL42,JN555585+:91011-91121|91412-91551|92534-94658,+,91011,94657,2373,3,1,0,0,0,0,1,0,0,1,3,
UL40.5 RNA,UL40.5_RNA,UL40.5,UL40.5-UL42,JN555585+:91076-94658,+,91076,94657,3582,1,1,1,0,0,0,0,0,0,1,3,
UL40.5 RNA #1 (encodes UL40.5 iORF),UL40.5_RNA_#1,UL40.5,UL40.5-UL42,JN555585+:91296-94658,+,91296,94657,3362,1,1,0,0,0,0,1,0,0,1,3,
UL40.6 RNA,UL40.6_RNA,UL40.6,UL40.5-UL42,JN555585+:91523-94658,+,91523,94657,3135,1,1,0,0,0,0,1,0,0,1,3,
"UL40.6 RNA iso1 (spliced, encodes UL40.7 dORF)",UL40.6_RNA_iso1,UL40.6,UL40.5-UL42,JN555585+:91523-91551|92534-94658,+,91523,94657,2152,2,1,0,0,0,0,1,0,0,1,3,
UL40.7 RNA,UL40.7_RNA,UL40.7,UL40.5-UL42,JN555585+:91994-94658,+,91994,94657,2664,1,1,0,0,0,0,1,0,0,1,3,
UL42 RNA,UL42_RNA,UL42,UL40.5-UL42,JN555585+:92934-94658,+,92934,94657,1724,1,1,1,1,0,1,1,1,1,1,8,
UL43 RNA,UL43_RNA,UL43,UL43,JN555585+:94764-96086,+,94764,96085,1322,1,0,1,0,1,0,0,0,0,1,3,
UL44 RNA,UL44_RNA,UL44,UL44-UL45,JN555585+:96173-98705,+,96173,98704,2532,1,1,1,1,0,0,1,0,0,1,5,
UL44 RNA iso1 (spliced),UL44_RNA_iso1,UL44,UL44-UL45,JN555585+:96173-97724|97950-98705,+,96173,98704,2306,2,1,1,1,0,0,1,0,0,1,5,
UL45 RNA,UL45_RNA,UL45,UL44-UL45,JN555585+:97953-98705,+,97953,98704,752,1,1,0,0,1,1,1,1,0,1,6,
UL46.5 RNA,UL46.5_RNA,UL46.5,UL46.5-UL50,JN555585+:101286-108176,+,101286,108175,6890,1,0,0,0,0,0,0,0,0,0,0,Peak in both cRNA-seq replicates. Required for expression of UL46.5 sORF 1 and 2.
UL47.5 RNA (orphan),UL47.5_RNA,UL47.5,UL46.5-UL50,JN555585+:103415-108176,+,103415,108175,4761,1,1,0,0,0,0,0,1,0,0,2,
UL50 RNA,UL50_RNA,UL50,UL46.5-UL50,JN555585+:106829-108176,+,106829,108175,1347,1,0,1,1,0,1,1,1,1,1,7,
UL52 RNA,UL52_RNA,UL52,UL52-UL53,JN555585+:108985-113466,+,108985,113465,4481,1,1,1,0,0,0,1,0,0,1,4,
UL53 RNA,UL53_RNA,UL53,UL52-UL53,JN555585+:111761-113466,+,111761,113465,1705,1,1,1,0,0,1,1,0,1,1,6,
UL53 RNA #1,UL53_RNA_#1,UL53,UL52-UL53,JN555585+:111943-113466,+,111943,113465,1523,1,1,0,0,0,1,1,0,0,1,4,
UL53 RNA #2 (encodes UL53 iORF),UL53_RNA_#2,UL53,UL52-UL53,JN555585+:112511-113466,+,112511,113465,955,1,1,0,0,0,0,1,1,0,1,4,
UL54 RNA,UL54_RNA,UL54,UL54-UL55,JN555585+:113598-115303,+,113598,115302,1705,1,0,1,1,0,1,1,0,0,1,5,
UL54.4 RNA (PacBio; read-through; orphan),UL54.4_RNA,UL54.4,UL54-UL55,JN555585+:115027-116123,+,115027,116122,1096,1,1,0,0,1,0,1,0,0,0,3,
UL55 RNA,UL55_RNA,UL55,UL54-UL55,JN555585+:115444-116123,+,115444,116122,679,1,0,1,0,0,1,1,0,1,1,5,
IRL2.5 RNA *2 (=LAT 0.7kb; =pri-miRNA-H1),IRL2.5_RNA_*2,IRL2.5,IRL2.5,JN555585+:117948-118732,+,117948,118731,784,1,1,0,0,0,0,1,0,0,0,2,
IRL2.5 RNA *1 (=LAT 0.7kb; =pri-miRNA-H1),IRL2.5_RNA_*1,IRL2.5,IRL2.5,JN555585+:117978-118732,+,117978,118731,754,1,1,0,0,0,0,0,0,0,0,1,Strong peak in both dRNA-seq and one cRNA-seq replicate. Weak peak in the other cRNA-seq replicate. 0.7kb LAT.
IRL2.5 RNA (=pri-miRNA-H1),IRL2.5_RNA,IRL2.5,IRL2.5,JN555585+:118139-118732,+,118139,118731,593,1,1,0,0,0,0,0,0,1,1,3,
IRL2.5 RNA #1 (orphan),IRL2.5_RNA_#1,IRL2.5,IRL2.5,JN555585+:118617-118732,+,118617,118731,115,1,1,0,0,0,0,0,0,1,0,2,
LAT iso1 (spliced),LAT_iso1,LAT_gene,LAT-ORF-O,JN555585+:118806-119464|121420-127172,+,118806,127171,6410,2,0,0,0,0,0,0,0,0,0,0,Latency associated transcript (LAT)
LAT,LAT,LAT_gene,LAT-ORF-O,JN555585+:118806-127172,+,118806,127171,8366,1,0,0,0,0,0,0,0,0,0,0,Latency associated transcript (LAT)
pri-miRNA-H2/H7/H8/H3/H4/H5 (initiates within LAT),pri-miRNA-H2/H7/H8/H3/H4/H5,pri-miRNA-H2/H7/H8/H3/H4/H5,LAT-ORF-O,JN555585+:121163-127172,+,121163,127171,6009,1,0,1,0,0,0,0,1,0,0,2,
pri-miRNA-H7/H8/H3/H4/H5 (initiates within LAT),pri-miRNA-H7/H8/H3/H4/H5,pri-miRNA-H7/H8/H3/H4/H5,LAT-ORF-O,JN555585+:122774-127172,+,122774,127171,4398,1,1,0,0,0,0,0,1,1,0,3,
"ORF-O/P RNA (=pri-miRNA-H3/H4/H5, inhibited by ICP4)",ORF-O/P_RNA,ORF-O/P,LAT-ORF-O,JN555585+:125048-127172,+,125048,127171,2124,1,0,1,0,0,0,0,0,0,1,2,
US1 RNA (spliced),US1_RNA,US1,US1-US1.5,JN555585+:132129-132375|132543-133968,+,132129,133967,1671,2,1,1,1,1,1,1,0,0,0,6,
"US1.5 RNA (Carter & Roizman, JVI 1996)",US1.5_RNA,US1.5,US1-US1.5,JN555585+:133083-133968,+,133083,133967,885,1,0,0,0,0,0,0,0,0,1,1,"Observed by Carter & Roizman, JVI 1996. No evidence for this TiSS in our data."
US2.5 RNA,US2.5_RNA,US2.5,US2.5-US4,JN555585+:134622-137541,+,134622,137540,2919,1,0,1,0,0,0,0,0,0,1,2,
US3 RNA (also encodes US3.5 CDS),US3_RNA,US3,US2.5-US4,JN555585+:134966-137541,+,134966,137540,2575,1,1,1,0,0,0,0,1,0,1,4,
US3 RNA #1 (also encodes US3.5 CDS),US3_RNA_#1,US3,US2.5-US4,JN555585+:135122-137541,+,135122,137540,2419,1,0,0,0,0,0,0,0,1,1,2,
US3 RNA #2 (also encodes US3.5 CDS),US3_RNA_#2,US3,US2.5-US4,JN555585+:135189-137541,+,135189,137540,2352,1,0,0,0,0,1,1,0,0,1,3,
US4 RNA,US4_RNA,US4,US2.5-US4,JN555585+:136734-137541,+,136734,137540,807,1,1,1,0,1,1,1,1,1,1,8,
US5 RNA,US5_RNA,US5,US5-US7,JN555585+:137625-141042,+,137625,141041,3417,1,1,1,1,1,1,1,0,0,1,7,
US6 RNA,US6_RNA,US6,US5-US7,JN555585+:138345-141042,+,138345,141041,2697,1,1,1,1,0,1,1,0,1,1,7,
US7 RNA,US7_RNA,US7,US5-US7,JN555585+:139699-141042,+,139699,141041,1343,1,1,1,1,0,1,1,0,0,1,6,
US8 RNA,US8_RNA,US8,US8-US9,JN555585+:141171-143695,+,141171,143694,2524,1,1,1,1,0,1,1,0,0,1,6,
US8.5 RNA (encodes US8A),US8.5_RNA,US8.5,US8-US9,JN555585+:142629-143695,+,142629,143694,1066,1,1,1,0,1,1,1,1,0,1,7,
US9 RNA,US9_RNA,US9,US8-US9,JN555585+:143251-143695,+,143251,143694,444,1,1,0,0,0,1,1,1,0,1,5,
"Ori-S RNA (Hubenthal-Voss,Starr,Roizman JVI 1987; encode Ori-S CDS)",Ori-S_RNA,Ori-S,Ori-S-TRS1,JN555585+:145907-151027,+,145907,151026,5120,1,0,0,0,0,0,0,0,0,1,1,"Observed by Hubenthal-Voss,Starr,Roizman JVI 1987. Weak peak as well as increase in read coverage downstream of TiSS in both cRNA-seq replicates."
TRS1 RNA,TRS1_RNA,TRS1,Ori-S-TRS1,JN555585+:146766-151027,+,146766,151026,4261,1,1,1,0,0,0,1,0,0,0,3,
"TRS1 RNA #1 (orphan, may encode truncated isoform of TRS1 CDS)",TRS1_RNA_#1,TRS1,Ori-S-TRS1,JN555585+:147355-151027,+,147355,151026,3672,1,0,1,0,1,0,0,0,0,0,2,
TRL2.5 RNA #1 (orphan),TRL2.5_RNA_#1,TRL2.5,TRL2.5,JN555585-:7641-7756,-,7755,7641,115,1,1,0,0,0,0,0,0,1,0,2,
TRL2.5 RNA (=LAT 0.7kb; =pri-miRNA-H1),TRL2.5_RNA,TRL2.5,TRL2.5,JN555585-:7641-8234,-,8233,7641,593,1,1,0,0,0,0,0,0,1,1,3,
TRL2.5 RNA *1 (=LAT 0.7kb; =pri-miRNA-H1),TRL2.5_RNA_*1,TRL2.5,TRL2.5,JN555585-:7641-8395,-,8394,7641,754,1,1,0,0,0,0,0,0,0,0,1,Strong peak in both dRNA-seq and one cRNA-seq replicate. Weak peak in the other sRNA-seq replicate.
TRL2.5 RNA *2 (=pri-miRNA-H1),TRL2.5_RNA_*2,TRL2.5,TRL2.5,JN555585-:7641-8425,-,8424,7641,784,1,1,0,0,0,0,1,0,0,0,2,
UL4 RNA,UL4_RNA,UL4,UL4-UL6.6,JN555585-:11733-12495,-,12494,11733,762,1,1,0,0,0,1,1,0,0,1,4,
UL4.6 RNA (orphan; PacBio only),UL4.6_RNA,UL4.6,UL4-UL6.6,JN555585-:11733-13519,-,13518,11733,1786,1,0,0,0,0,0,1,1,0,0,2,
UL5 RNA,UL5_RNA,UL5,UL4-UL6.6,JN555585-:11733-15582,-,15581,11733,3849,1,0,1,0,0,1,1,0,1,1,5,
UL5 RNA *1,UL5_RNA_*1,UL5,UL4-UL6.6,JN555585-:11733-15618,-,15617,11733,3885,1,1,0,0,0,0,1,0,0,1,3,
UL6.4 RNA,UL6.4_RNA,UL6.4,UL4-UL6.6,JN555585-:11733-16007,-,16006,11733,4274,1,1,0,0,0,0,0,0,0,1,2,
UL6.5 RNA,UL6.5_RNA,UL6.5,UL4-UL6.6,JN555585-:11733-16724,-,16723,11733,4991,1,0,0,0,0,0,0,1,0,1,2,
UL6.6 RNA,UL6.6_RNA,UL6.6,UL4-UL6.6,JN555585-:11733-17359,-,17358,11733,5626,1,1,0,0,0,0,0,0,0,1,2,
UL8 RNA,UL8_RNA,UL8,UL8-UL9.5,JN555585-:18187-20680,-,20679,18187,2493,1,1,1,0,0,1,1,1,0,1,6,
UL8.5 RNA,UL8.5_RNA,UL8.5,UL8-UL9.5,JN555585-:18187-22195,-,22194,18187,4008,1,1,0,0,0,0,0,1,0,1,3,
UL8.5 RNA *1 (Baradaran et al 1994; TiSS not observed),UL8.5_RNA_*1,UL8.5,UL8-UL9.5,JN555585-:18187-22351,-,22350,18187,4164,1,0,0,0,0,0,1,0,0,1,2,
UL9 RNA (Baradaran et al 1994; TiSS not observed),UL9_RNA,UL9,UL8-UL9.5,JN555585-:18187-23381,-,23380,18187,5194,1,0,0,0,0,0,0,0,1,1,2,
UL9.5 RNA,UL9.5_RNA,UL9.5,UL8-UL9.5,JN555585-:18187-24632,-,24631,18187,6445,1,1,1,0,0,0,0,0,0,1,3,
UL11 RNA,UL11_RNA,UL11,UL11-UL14,JN555585-:24774-25116,-,25115,24774,342,1,1,0,0,0,0,0,0,0,1,2,
UL11.5 RNA (orphan),UL11.5_RNA,UL11.5,UL11-UL14,JN555585-:24774-25499,-,25498,24774,725,1,1,0,1,0,1,1,0,0,0,4,
UL12.5 RNA,UL12.5_RNA,UL12.5,UL11-UL14,JN555585-:24774-26616,-,26615,24774,1842,1,1,1,1,0,0,1,0,0,1,5,
UL12 RNA,UL12_RNA,UL12,UL11-UL14,JN555585-:24774-27046,-,27045,24774,2272,1,1,1,0,0,1,1,1,0,1,6,
UL13 RNA,UL13_RNA,UL13,UL11-UL14,JN555585-:24774-28685,-,28684,24774,3911,1,1,0,0,0,1,0,0,1,1,4,
UL14 RNA #1 (does not encode UL14 uORF 1 & 2),UL14_RNA_#1,UL14,UL11-UL14,JN555585-:24774-29127,-,29126,24774,4353,1,1,0,0,0,1,0,0,0,0,2,
UL14 RNA,UL14_RNA,UL14,UL11-UL14,JN555585-:24774-29250,-,29249,24774,4476,1,1,0,0,0,1,1,0,0,1,4,
UL16 RNA,UL16_RNA,UL16,UL16-UL17,JN555585-:30146-31608,-,31607,30146,1462,1,1,1,0,0,1,1,0,1,0,5,
UL17 RNA #1,UL17_RNA_#1,UL17,UL16-UL17,JN555585-:30146-33627,-,33626,30146,3481,1,1,0,0,0,0,0,0,0,1,2,
UL17 RNA,UL17_RNA,UL17,UL16-UL17,JN555585-:30146-33815,-,33814,30146,3669,1,1,1,0,0,1,0,1,1,1,6,
UL17 RNA *1,UL17_RNA_*1,UL17,UL16-UL17,JN555585-:30146-34039,-,34038,30146,3893,1,1,0,0,0,0,0,0,0,1,2,
UL18 RNA,UL18_RNA,UL18,UL18-UL20.6,JN555585-:35003-36248,-,36247,35003,1245,1,1,1,1,0,1,1,1,0,1,7,
UL19 RNA,UL19_RNA,UL19,UL18-UL20.6,JN555585-:35003-40767,-,40766,35003,5764,1,1,1,0,0,1,1,0,1,1,6,
UL20 RNA,UL20_RNA,UL20,UL18-UL20.6,JN555585-:35003-41614,-,41613,35003,6611,1,1,1,0,0,1,1,1,0,1,6,
UL20.6 RNA,UL20.6_RNA,UL20.6,UL18-UL20.6,JN555585-:35003-43563,-,43562,35003,8560,1,0,1,0,0,0,0,0,0,0,1,Strong peak in both cRNA-seq replicates and notable increase in coverage downstream of TiSS. Required for expression of UL26.6 uORF and UL20.6 ORF.
UL22 RNA,UL22_RNA,UL22,UL22,JN555585-:43814-46582,-,46581,43814,2768,1,1,1,0,0,1,1,0,0,1,5,
UL23 RNA,UL23_RNA,UL23,UL23-UL25.5,JN555585-:46604-47910,-,47909,46604,1306,1,1,1,0,0,1,1,1,1,1,7,
UL25.5 RNA,UL25.5_RNA,UL25.5,UL23-UL25.5,JN555585-:46604-50557,-,50556,46604,3953,1,1,0,0,0,0,0,0,0,0,1,Strong peak in both dRNA-seq replicates. Required for expression of UL25.5 ORF.
UL27 RNA,UL27_RNA,UL27,UL27-UL28,JN555585-:53032-56081,-,56080,53032,3049,1,1,1,1,0,1,1,0,1,1,7,
UL28 RNA,UL28_RNA,UL28,UL27-UL28,JN555585-:53032-58386,-,58385,53032,5354,1,1,0,0,0,0,0,0,0,1,2,
